abster-se； abstain/棄權； v. r.；Nas assembleias, muitos cidadãos decidiram abster-se da votação.; de
complementar;補充的，互補的；adj. 2 gén.；As duas disciplinas são complementares no curso de ciências.;—
complexidade;複雜性；s. f.；A complexidade do problema matemático desafiou os melhores alunos.;—
complicar;使複雜，使困難；v. tr.；Não compliques as coisas, é mais simples do que parece.;—
compor;組成，創作；v. tr.；O músico compôs uma sinfonia inspirada na natureza.;—
comportamento;行為，表現；s. m.；O comportamento do aluno melhorou significativamente este semestre.;—
comportar;容納，包括；v. tr.；O salão comporta até duzentas pessoas sentadas.;comportar-se bem/mal
compreender;理解，包含；v. tr.；É importante compreender as regras antes de jogar.;—
comprometer;危及，連累；v. tr.；A sua atitude irresponsável comprometeu o projeto inteiro.;comprometer-se a
compulsar;查閱，核對；v. tr.；O investigador compulsou todos os documentos do arquivo histórico.;—
comungar;領聖體，贊同；v. i.；Os fiéis comungaram durante a missa de domingo.;comungar de/com
comunicação;溝通，通訊；s. f.；A comunicação entre as equipas é essencial para o sucesso.;—
conceber;構思，受孕；v. tr.；O arquiteto concebeu um edifício revolucionário e sustentável.;—
concernente;有關的，關於的；adj. 2 gén.；Recebemos toda a documentação concernente ao processo.;concernente a
concertar;協調，修理；v. tr.；O músico concertou o piano antes do concerto.;—
conceito;概念，觀念；s. m.；O conceito de liberdade varia conforme a cultura e a época.;—
conceituar;概念化，定義；v. tr.；O filósofo conceituou a felicidade como um estado de plenitude.;—
conchavo;勾結，密謀；s. m.；O conchavo entre os políticos foi descoberto pela imprensa.;—
conciliador;調解的，妥協的；adj.；O líder conciliador conseguiu unir as facções opostas.;—
concomitante;伴隨的，同時的；adj. 2 gén.；Os efeitos concomitantes da medicação foram estudados.;—
concordar;同意，一致；v. i.；Eu concordo contigo em relação a esse ponto.;concordar com
concorrência;競爭，同時發生；s. f.；A concorrência no mercado tecnológico é feroz.;—
concretizar;實現，具體化；v. tr.；Finalmente conseguiu concretizar o sonho de viajar pelo mundo.;—
concussão;勒索，侵吞公款；s. f.；O ministro foi acusado de concussão e desviou fundos públicos.;—
condenar;判決，譴責；v. tr.；O tribunal condenou o réu a dez anos de prisão.;—
condescendência;屈尊，俯就；s. f.；O professor tratou os alunos com condescendência, o que os irritou.;—
condicionar;限制，制約；v. tr.；A falta de recursos condicionou o desenvolvimento do projeto.;—
condizer;相稱，相配；v. i.；O teu discurso não condiz com as tuas ações passadas.;condizer com
conduzir;引導，駕駛；v. tr.；O guia conduziu o grupo pela floresta densa.;conduzir a
confecionar;製作，準備；v. tr.；A cozinheira confecionou um jantar delicioso para os convidados.;—
conferir;授予，比較，核對；v. tr.；O reitor conferiu o diploma ao formando na cerimónia.;conferir com
confessar;承認，懺悔；v. tr.；O suspeito confessou o crime durante o interrogatório.;—
confiança;信任，信心；s. f.；A confiança entre os sócios é fundamental para o negócio.;ter confiança em
confidenciar;吐露，保密；v. tr.；Ela confidenciou à amiga os seus segredos mais profundos.;confidenciar a
confinar;限制，鄰接；v. tr. i.；A pandemia confinou as pessoas às suas casas durante meses.;confinar a/com
confirmar;確認，證實；v. tr.；O laboratório confirmou os resultados da análise científica.;—
conflito;衝突，矛盾；s. m.；O conflito entre os dois países dura há décadas.;—
confluir;匯合，匯流；v. i.；Os dois rios confluem perto da fronteira internacional.;confluir em/para
conformar;順應，使適應；v. tr.；Ela conformou-se com a situação e seguiu em frente.;conformar-se com
confraria;兄弟會，協會；s. f.；A confraria organiza a procissão anual da padroeira.;—
confrontar;面對，對抗；v. tr.；O advogado confrontou a testemunha com as provas irrefutáveis.;confrontar-se com
congeminado;深思熟慮的；adj.；O plano congeminado pelos espiões era extremamente detalhado.;—
congraçamento;和解，融洽；s. m.；O congraçamento entre as equipas foi conseguido após longas negociações.;—
conjectura;推測，假設；s. f.；A conjectura do economista baseava-se em dados históricos sólidos.;—
conjeturar;推測，猜測；v. tr.；Os especialistas conjeturam que a economia vai recuperar no próximo ano.;—
conjugal;夫妻的，婚姻的；adj. 2 gén.；A vida conjugal exige diálogo e compreensão mútua.;—
conjugar;結合，配合；v. tr.；É preciso conjugar esforços para resolver o problema ambiental.;—
conjunto;整體，集合；s. m.；O conjunto de medidas do governo visa reduzir a inflação.;—
conluio;共謀，勾結；s. m.；O conluio entre as empresas foi investigado pela autoridade da concorrência.;—
conotação;含義，聯想；s. f.；A palavra "político" tem uma conotação negativa em alguns contextos.;—
conquanto;儘管，雖然；conj.；Conquanto esteja cansado, vou terminar o trabalho hoje.;—
consagrar;奉獻，確立；v. tr.；O artista consagrou a sua vida à pintura.;consagrar-se a
consciencioso;有責任心的，認真的；adj.；O funcionário consciencioso verificou todos os detalhes do relatório.;—
consecutivo;連續的；adj.；Choveu durante três dias consecutivos na região norte.;—
conselho;建議，理事會；s. m.；O conselho de administração aprovou o novo orçamento.;—
consentimento;同意，允許；s. m.；O consentimento dos pais é necessário para a viagem de estudo.;—
considerar;考慮，認為；v. tr.；Considero que esta é a melhor solução para o problema.;—
consignar;指定，撥出；v. tr.；O testamento consignou parte da herança a instituições de caridade.;—
consistência;一致性，堅固性；s. f.；A consistência do argumento convenceu o júri.;—
consolar;安慰，慰藉；v. tr.；Os amigos consolaram-na após a perda do seu animal de estimação.;—
consolidar;鞏固，加強；v. tr.；A empresa consolidou a sua posição no mercado internacional.;—
consonância;一致，和諧；s. f.；As suas ações estão em consonância com os valores da empresa.;em consonância com
conspirar;密謀，策劃；v. i.；Os generais conspiraram contra o governo democrático.;conspirar contra
constância;恆心，穩定；s. f.；A constância nos estudos é a chave para o sucesso académico.;—
constatar;確認，證實；v. tr.；O médico constatou que a fratura já estava a cicatrizar bem.;—
constranger;使尷尬，強迫；v. tr.；A situação constrangeu todos os presentes na sala.;—
construção;建築，建設；s. f.；A construção da ponte demorou três anos a ser concluída.;—
consultar;諮詢，查閱；v. tr.；Consulta o dicionário se tiveres dúvidas sobre o significado.;—
consumido;消耗的，筋疲力盡的；adj.；Estava consumido pelo cansaço após a longa viagem.;—
consumir;消費，消耗；v. tr.；A população consome demasiados recursos naturais.;—
contagiar;傳染，感染；v. tr.；A alegria dela contagiava todos à sua volta.;—
contemplar;沉思，凝視；v. tr.；Contemplou o pôr do sol durante horas na varanda.;—
contemporizar;妥協，容忍；v. i.；O chefe contemporizou com as exigências dos funcionários.;contemporizar com
contenda;爭論，衝突；s. f.；A contenda entre os vizinhos terminou no tribunal.;—
contentamento;滿足，喜悅；s. m.；O contentamento estampava-se no rosto da criança premiada.;—
contestar;質疑，反駁；v. tr.；Os alunos contestaram a decisão do diretor da escola.;—
contexto;上下文，背景；s. m.；A frase deve ser analisada no seu contexto original.;—
contigente;偶然的，應急的；adj. 2 gén.；Os custos contingentes devem ser incluídos no orçamento.;—
continuidade;連續性；s. f.；A continuidade do projeto depende do financiamento aprovado.;—
contra-argumentar;反駁；v. tr.；O advogado contra-argumentou cada ponto da acusação.;—
contradizer;反駁，矛盾；v. tr.；Não quero contradizer-te, mas os factos dizem o contrário.;—
contrair;收縮，感染；v. tr.；O paciente contraiu uma infeção rara durante a viagem.;contrair dívidas
contraponto;對比，對照；s. m.；A natureza serviu de contraponto à vida urbana no romance.;—
contrariar;反對，阻撓；v. tr.；Ninguém gosta de ser contrariado constantemente.;—
contraste;對比，反差；s. m.；O contraste entre o preto e o branco é marcante na fotografia.;—
contribuir;貢獻，促成；v. tr. i.；Todos devemos contribuir para um mundo mais justo.;contribuir para
contrição;懺悔，悔悟；s. f.；O pecador mostrou verdadeira contrição pelos seus atos.;—
controverso;有爭議的；adj.；A decisão do juiz foi muito controversa na comunidade jurídica.;—
controvérsia;爭議，論戰；s. f.；A controvérsia em torno do novo medicamento dividiu a comunidade científica.;—
contumaz;頑固的，屢教不改的；adj. 2 gén.；O criminoso contumaz foi preso novamente pela polícia.;—
convalescer;康復，恢復；v. i.；O doente está a convalescer em casa após a cirurgia.;—
convencer;說服，使信服；v. tr.；O vendedor convenceu o cliente a comprar o carro.;convencer-se de
convergir;匯聚，集中；v. i.；As opiniões dos especialistas convergem para a mesma conclusão.;convergir para
conversão;轉換，改變；s. f.；A conversão do edifício em museu foi um sucesso.;—
convexo;凸面的；adj.；O espelho convexo distorce a imagem refletida.;—
convicção;信念，確信；s. f.；Fala sempre com convicção sobre os seus ideais.;—
convidativo;誘人的，吸引人的；adj.；O aroma convidativo do pão quente enchia a cozinha.;—
convir;適合，同意；v. i.；Convém que cheguemos cedo para garantir bons lugares.;convir a
cerzir；修補；動詞 (v. tr.)；Ela cerziu as meias com grande paciência e perícia.；—
dissidência；異議/分歧；名詞 (s. f.)；A dissidência interna levou à rutura do partido político.；—
conjecturar；推測；動詞 (v. tr. e intr.)；Os analistas conjecturam que a economia irá recuperar no próximo trimestre.；—
imiscuir-se；干涉/插手；動詞 (v. pron.)；Não te imiscuas em assuntos que não te dizem respeito.；imiscuir-se em
perentório；斷然的/強制性的；形容詞 (adj.)；O juiz foi perentório na sua decisão, não admitindo recurso.；—
consubstanciar；具體化/體現；動詞 (v. tr. e pron.)；A nova lei consubstancia os princípios da reforma educativa.；—
escabroso；崎嶇的/棘手的；形容詞 (adj.)；O assunto é demasiado escabroso para ser discutido em público.；—
intempérie；惡劣天氣；名詞 (s. f.)；As intempéries destruíram grande parte das colheitas no sul do país.；—
sub-reptício；暗中的/秘密的；形容詞 (adj.)；O documento foi introduzido de forma sub-reptícia no processo.；—
convalescença；康復期；名詞 (s. f.)；Durante a convalescença, o médico recomendou repouso absoluto.；—
desmesurado；過度的/無節制的；形容詞 (adj.)；O seu orgulho desmesurado impediu-o de pedir desculpa.；—
exarado；明確載明的；形容詞 (adj.)；A cláusula encontra-se exarada no contrato de arrendamento.；—
inexequível；不可實行的；形容詞 (adj.)；O plano revelou-se inexequível devido à falta de financiamento.；—
laudatório；讚揚的；形容詞 (adj.)；O discurso laudatório do presidente emocionou todos os presentes.；—
obliquar；斜行/拐彎；動詞 (v. intr.)；O carro obliquou subitamente para a esquerda, evitando o obstáculo.；—
perfilhar；採納/認同；動詞 (v. tr.)；O partido perfilhou as reivindicações dos manifestantes.；—
procela；風暴/動盪；名詞 (s. f.)；O país atravessou uma procela política sem precedentes.；—
quimérico；幻想的/不切實際的；形容詞 (adj.)；Os seus planos quiméricos nunca se concretizaram.；—
recalque；壓抑；名詞 (s. m.)；O recalque das emoções pode levar a problemas psicológicos graves.；—
resquício；殘餘/痕跡；名詞 (s. m.)；Ainda há resquícios de humidade nas paredes do edifício.；—
sobrestar；暫停/擱置；動詞 (v. tr. e intr.)；O tribunal sobrestou a sentença até à apresentação de novas provas.；sobrestar em
tresler；誤解/讀錯；動詞 (v. tr. e intr.)；Tresliu o documento e assinou o contrato sem se aperceber das cláusulas.；—
ab-rogado；廢除的/撤銷的；形容詞 (adj.)；O decreto foi ab-rogado pelo novo governo.；—
acérrimo；堅決的/頑固的；形容詞 (adj.)；Ele é um acérrimo defensor dos direitos humanos.；—
aliancista；聯盟的/結盟的；形容詞 (adj.)；A política aliancista do governo fortaleceu as relações diplomáticas.；—
amnistiar；大赦；動詞 (v. tr.)；O presidente amnistiou os prisioneiros políticos no dia da independência.；—
anátema；詛咒/譴責；名詞 (s. m.)；A corrupção é um anátema para qualquer sociedade democrática.；—
antepassado；祖先/先輩；名詞 (s. m.)；Os nossos antepassados lutaram pela liberdade que hoje usufruímos.；—
apaziguar；安撫/平息；動詞 (v. tr.)；O governo tentou apaziguar os ânimos dos manifestantes.；—
apóstata；背教者/叛徒；名詞 (s. m. e f.)；Foi considerado apóstata por abandonar a doutrina oficial.；—
aprovisionar；供應/補給；動詞 (v. tr.)；O exército aprovisionou-se de mantimentos para a longa campanha.；aprovisionar-se de
arauto；先驅/預告者；名詞 (s. m.)；Aquele cientista foi o arauto de uma nova era na medicina.；—
areópago；權威機構/評議會；名詞 (s. m.)；O artigo foi submetido ao areópago científico para avaliação.；—
arrematar；競拍得標/終結；動詞 (v. tr.)；Arrematou o quadro num leilão por um valor recorde.；—
arrogar-se；妄稱/僭取；動詞 (v. pron.)；Arroga-se o direito de decidir por todos sem consultar ninguém.；arrogar-se o direito de
asserto；斷言/主張；名詞 (s. m.)；O seu asserto não foi corroborado por nenhuma prova científica.；—
assolapado；隱蔽的/暗中的；形容詞 (adj.)；A oposição fez um trabalho assolapado de minar o governo.；—
autoflagelação；自責/自我懲罰；名詞 (s. f.)；A sua autoflagelação constante tornava o ambiente insuportável.；—
baldado；徒勞的/失敗的；形容詞 (adj.)；Todos os esforços para salvar a empresa foram baldados.；—
baptismo；洗禮/命名；名詞 (s. m.)；O baptismo do navio decorreu numa cerimónia solene.；—
beligerância；好戰/交戰狀態；名詞 (s. f.)；A beligerância entre as duas nações terminou com o tratado de paz.；—
bilioso；暴躁的/易怒的；形容詞 (adj.)；O velho professor era conhecido pelo seu temperamento bilioso.；—
blasfémia；褻瀆/咒罵；名詞 (s. f.)；Proferir blasfémias é considerado crime em alguns países.；—
boçal；粗魯的/愚昧的；形容詞 (adj.)；O seu comportamento boçal chocou todos os convidados.；—
bucólico；田園的/牧歌的；形容詞 (adj.)；A paisagem bucólica da aldeia inspirou o poeta.；—
bufarinheiro；小販/流動商販；名詞 (s. m.)；O bufarinheiro vendia bugigangas na feira da aldeia.；—
buliçoso；活潑的/騷動的；形容詞 (adj.)；A criança buliçosa não parava quieta um minuto.；—
burgo；城鎮/市鎮；名詞 (s. m.)；O burgo medieval conserva ainda as suas muralhas originais.；—
cabal；完整的/徹底的；形容詞 (adj.)；É necessário um estudo cabal da situação antes de tomar decisões.；—
cábula；作弊/小抄；名詞 (s. f.)；O aluno foi apanhado com uma cábula durante o exame.；—
cachação；耳光/掌摑；名詞 (s. f.)；Deu-lhe uma cachação que o fez cambalear.；—
cãibra；抽筋；名詞 (s. f.)；Uma cãibra repentina na perna impediu-o de continuar a correr.；—
cainçalha；惡劣天氣/壞天氣；名詞 (s. f.)；Com esta cainçalha ninguém sai à rua.；—
calaceiro；懶惰的/懶散的；形容詞 (adj.)；O funcionário calaceiro foi finalmente despedido.；—
calamidade；災難/災禍；名詞 (s. f.)；As cheias foram uma calamidade para a região.；—
calão；俚語/切口；名詞 (s. m.)；O calão juvenil está em constante mudança.；—
cambada；一群/一幫；名詞 (s. f.)；Uma cambada de gatunos assaltou a ourivesaria.；—
cambalhota；翻筋斗/倒翻；名詞 (s. f.)；O ginasta deu uma cambalhota perfeita no ar.；—
canalha；惡棍/無賴；名詞 (s. f.)；Aquela canalha não merece a tua confiança.；—
cancro；癌症/毒瘤；名詞 (s. m.)；O cancro é uma das principais causas de morte no mundo.；—
candura；天真/純樸；名詞 (s. f.)；A candura da criança enterneceu todos os presentes.；—
canhestro；笨拙的/不熟練的；形容詞 (adj.)；Os seus movimentos canheiros denunciavam a falta de prática.；—
cantochão；單聲聖歌/單調語調；名詞 (s. m.)；Os monges entoavam o cantochão na capela ao amanhecer.；—
capcioso；狡猾的/詭辯的；形容詞 (adj.)；O advogado usou argumentos capciosos para confundir o júri.；—
capitanear；率領/指揮；動詞 (v. tr.)；O general capitaneará a ofensiva militar.；—
capitoso；醉人的/濃烈的；形容詞 (adj.)；O vinho capitoso deixou-os alegres após o jantar.；—
caramelo；焦糖/淺褐色；名詞 (s. m.)；A sobremesa levava um fio de caramelo por cima.；—
carapuça；帽子/罩子；名詞 (s. f.)；A carapuça do telescópio protege a lente do pó.；—
cardume；魚群/大量；名詞 (s. m.)；Um cardume de sardinhas aproximou-se da costa.；—
carga；負載/負擔；名詞 (s. f.)；O camião transportava uma carga de mercadorias perigosas.；—
carniceiro；殘忍的/血腥的；形容詞 (adj.)；O ataque carniceiro chocou a opinião pública internacional.；—
carranca；愁眉苦臉/面色陰沉；名詞 (s. f.)；Fez uma carranca quando ouviu a notícia desagradável.；—
cartilha；入門書/手冊；名詞 (s. f.)；Segue à cartilha e não terás problemas com o regulamento.；—
casaca；外套/禮服；名詞 (s. f.)；Vestiu a casaca para a cerimónia de casamento.；—
cascata；瀑布/一連串；名詞 (s. f.)；A cascata formava um arco-íris com os raios de sol.；—
casco；蹄/殼/船體；名詞 (s. m.)；O casco do navio foi danificado nos rochedos.；—
castiço；純正的/地道的；形容詞 (adj.)；Fala um português castiço, digno de um escritor clássico.；—
castrador；閹割的/壓制性的；形容詞 (adj.)；A educação castradora inibiu a sua criatividade.；—
casual；偶然的/隨意的；形容詞 (adj.)；Foi um encontro casual que mudou a sua vida para sempre.；—
cataclismo；大災難/劇變；名詞 (s. m.)；O cataclismo destruiu cidades inteiras na região.；—
catapora；水痘；名詞 (s. f.)；A catapora é uma doença contagiosa comum na infância.；—
categórico；明確的/斷然的；形容詞 (adj.)；O diretor foi categórico ao recusar o pedido.；—
cátedra；講座/教授職位；名詞 (s. f.)；Ocupa a cátedra de literatura na universidade há vinte anos.；—
caudaloso；水量充沛的；形容詞 (adj.)；O rio Amazonas é o mais caudaloso do mundo.；—
causídico；律師/辯護人；名詞 (s. m.)；O causídico apresentou uma defesa brilhante em tribunal.；—
cautela；謹慎/小心；名詞 (s. f.)；É preciso agir com cautela em situações de risco.；—
caveira；頭骨/骷髏；名詞 (s. f.)；Os arqueólogos encontraram uma caveira pré-histórica na escavação.；—
celeuma；喧囂/爭議；名詞 (s. f.)；A decisão do árbitro gerou celeuma entre os adeptos.；—
célula；細胞/小組；名詞 (s. f.)；A célula terrorista foi desmantelada pela polícia.；—
censurar；審查/譴責；動詞 (v. tr.)；O governo censurou o artigo do jornalista.；—
centelha；火花/閃爍；名詞 (s. f.)；Uma centelha de esperança iluminou-lhe o rosto.；—
céreo；蠟黃的/蒼白的；形容詞 (adj.)；O seu rosto céreo denunciava a doença prolongada.；—
cerimónia；儀式/典禮；名詞 (s. f.)；A cerimónia de casamento realizou-se na catedral.；—
cerne；核心/本質；名詞 (s. m.)；O cerne da questão é a falta de investimento na educação.；—
certame；競賽/比賽；名詞 (s. m.)；O certame literário atraiu escritores de todo o país.；—
certidão；證明書/公證；名詞 (s. f.)；Precisa de uma certidão de nascimento para o passaporte.；—
cesura；中斷/停頓；名詞 (s. f.)；Houve uma cesura no discurso quando o orador se emocionou.；—
chanfana；燉羊肉；名詞 (s. f.)；A chanfana é um prato típico da região da Beira.；—
chão；地面/地板；名詞 (s. m.)；O copo caiu ao chão e partiu-se em mil pedaços.；—
charada；謎語/難題；名詞 (s. f.)；A contabilidade da empresa é uma charada para mim.；—
charlatão；江湖騙子；名詞 (s. m.)；O charlatão vendia poções milagrosas aos incautos.；—
charneira；鉸鏈/樞紐；名詞 (s. f.)；Portugal foi uma charneira entre a Europa e o Atlântico.；—
chave；鑰匙/關鍵；名詞 (s. f.)；A chave para o sucesso é a perseverança.；—
chefiar；領導/指揮；動詞 (v. tr.)；Vai chefiar a equipa de investigação a partir do próximo mês.；—
chibo；告密者/叛徒；名詞 (s. m.)；Foi acusado de ser chibo da polícia.；—
chicana；詭辯/刁難；名詞 (s. f.)；O advogado recorreu a chicanas processuais para atrasar o julgamento.；—
chinfrim；平庸的/低劣的；形容詞 (adj.)；O espetáculo foi um chinfrim de tão mau.；—
chorrilho；一連串/接連；名詞 (s. m.)；Desatou num chorrilho de impropérios contra o adversário.；—
choupana；茅屋/簡陋小屋；名詞 (s. f.)；Vivia numa choupana no meio da floresta.；—
chulo；粗俗的/下流的；形容詞 (adj.)；O humor chulo do comediante ofendeu parte da audiência.；—
cicatriz；傷疤/創傷；名詞 (s. f.)；A cicatriz no seu braço recorda-lhe o acidente.；—
cilada；陷阱/圈套；名詞 (s. f.)；O exército caiu numa cilada preparada pelo inimigo.；—
cimentar；鞏固/加強；動詞 (v. tr.)；O tratado cimentou a aliança entre os dois países.；—
cinzelar；雕刻/精心雕琢；動詞 (v. tr.)；O escultor cinzelou a estátua em mármore branco.；—
circunlóquio；迂迴說法/婉轉措辭；名詞 (s. m.)；Deixou-se de circunlóquios e foi direto ao assunto.；—
circunspecção；慎重/謹慎；名詞 (s. f.)；Agiu com circunspecção num assunto tão delicado.；—
circunstância；情況/環境；名詞 (s. f.)；Em circunstância alguma deves revelar o segredo.；—
cisão；分裂/分割；名詞 (s. f.)；A cisão do partido deu origem a duas novas facções.；—
cisma；分裂/異議；名詞 (s. m.)；O cisma religioso dividiu a comunidade em duas.；—
cismar；深思/冥想；動詞 (v. intr.)；Passou a tarde a cismar na janela, olhando o horizonte.；cismar em
citação；引文/引用；名詞 (s. f.)；A citação de Camões abriu o discurso do orador.；—
clamor；吶喊/強烈抗議；名詞 (s. m.)；O clamor popular exigiu a demissão do ministro.；—
clarividente；有遠見的/明智的；形容詞 (adj.)；A sua análise clarividente antecipou a crise económica.；—
claudicar；跛行/動搖；動詞 (v. intr.)；Nunca claudicou nos seus princípios, mesmo sob pressão.；—
clemência；寬恕/仁慈；名詞 (s. f.)；O réu pediu clemência ao juiz.；—
clero；神職人員/教士；名詞 (s. m.)；O clero local opôs-se às reformas do governo.；—
cliché；陳詞濫調；名詞 (s. m.)；O discurso estava cheio de clichés sem originalidade.；—
coação；強迫/脅迫；名詞 (s. f.)；A confissão foi obtida sob coação e, por isso, anulada.；sob coação
coagir；強迫/脅迫；動詞 (v. tr.)；Ninguém pode coagir outrem a fazer o que a lei não obriga.；—
cobarde；懦夫/膽小鬼；名詞 (s. m. e f.)；Só um cobarde foge às suas responsabilidades.；—
codificar；編碼/法典化；動詞 (v. tr.)；O novo código codifica as práticas comerciais do setor.；—
coerção；強制/約束；名詞 (s. f.)；A coerção estatal deve ser limitada pelo direito.；—
cogitação；思考/深思；名詞 (s. f.)；Após longa cogitação, chegou a uma conclusão brilhante.；—
cognato；同源詞；形容詞 (adj.)；O português e o espanhol partilham muitos cognatos.；—
coibir；制止/阻止；動詞 (v. tr.)；É necessário coibir a violência doméstica.；—
colmatação；填補/堵塞；名詞 (s. f.)；A colmatação das falhas legais melhorou o sistema judicial.；—
colóquio；座談會/研討會；名詞 (s. m.)；Participou num colóquio internacional sobre alterações climáticas.；—
combater；打擊/對抗；動詞 (v. tr. e intr.)；A organização combate a fome em África.；combater por
comedimento；節制/謹慎；名詞 (s. m.)；Falou com comedimento para não ofender ninguém.；—
comensal；食客/同桌共餐者；名詞 (s. m. e f.)；Os comensais elogiaram o jantar do anfitrião.；—
cominação；威脅/恐嚇；名詞 (s. f.)；As suas cominações não intimidaram o adversário.；—
comiseração；同情/憐憫；名詞 (s. f.)；Olhou para o mendigo com comiseração.；—
comissão；委員會/委託；名詞 (s. f.)；Foi nomeado para a comissão de ética da instituição.；—
comparência；出席/到場；名詞 (s. f.)；A comparência em tribunal é obrigatória.；—
compendiar；摘要/彙編；動詞 (v. tr.)；O autor compendiou os seus estudos num livro notável.；—
compensação；補償/賠償；名詞 (s. f.)；Recebeu uma compensação financeira pelos danos sofridos.；—
compilação；彙編/編纂；名詞 (s. f.)；A compilação das leis é um trabalho monumental.；—
comprovar；證實/證明；動詞 (v. tr.)；Os testes comprovaram a eficácia do novo medicamento.；—
compulsar；查閱/翻查；動詞 (v. tr.)；O advogado compulsou todos os documentos do processo.；—
concatenar；串聯/連接；動詞 (v. tr.)；O escritor concatenou as ideias de forma brilhante.；—
conceito；概念/觀念；名詞 (s. m.)；O conceito de liberdade é fundamental na filosofia política.；—
conciliábulo；秘密會議/陰謀；名詞 (s. m.)；Os conspiradores reuniram-se num conciliábulo noturno.；—
concitar；煽動/激起；動詞 (v. tr.)；O discurso concitou a ira da multidão.；—
conclave；秘密會議/樞機選舉會議；名詞 (s. m.)；O conclave reuniu-se para eleger o novo papa.；—
concomitante；伴隨的/同時發生的；形容詞 (adj.)；A chuva foi concomitante ao início do festival.；concomitante a
concordata；協議/協定；名詞 (s. f.)；O governo assinou uma concordata com o Vaticano.；—
concriz；核心/深處；名詞 (s. f.)；Chegou à concriz do problema depois de muito analisar.；—
condão；魔力/天賦；名詞 (s. m.)；Tem o condão de animar qualquer festa com a sua presença.；—
condecoração；勳章/表彰；名詞 (s. f.)；Recebeu uma condecoração pelos serviços prestados à pátria.；—
condenação；定罪/判決；名詞 (s. f.)；A condenação do réu foi unânime no tribunal.；—
condimentar；調味/加佐料；動詞 (v. tr.)；O chef condimentou o prato com especiarias exóticas.；—
condizente；相符的/相稱的；形容詞 (adj.)；O seu estilo de vida não é condizente com o seu salário.；condizente com
condolências；慰問/哀悼；名詞 (s. f. pl.)；Apresentou as suas condolências à família enlutada.；—
condutor；司機/導體/指揮者；名詞 (s. m.)；O condutor do autocarro evitou o acidente por pouco.；—
conexão；連接/關聯；名詞 (s. f.)；A conexão entre os dois crimes foi estabelecida pela polícia.；—
confecionar；製作/準備；動詞 (v. tr.)；Confeccionou um bolo delicioso para a festa.；—
confessar；承認/懺悔；動詞 (v. tr. e pron.)；Confessou o crime perante o juiz.；—
confiar；信任/委託；動詞 (v. tr. e pron.)；Confio plenamente na tua capacidade para resolver isto.；confiar em
configuração；配置/形狀；名詞 (s. f.)；A configuração do software foi alterada pelo administrador.；—
confinar；限制/毗鄰；動詞 (v. tr. e intr.)；O parque confina com o rio a norte.；confinar com
confiscar；沒收/充公；動詞 (v. tr.)；A alfândega confiscou a mercadoria ilegal.；—
conflagração；大火/大動亂；名詞 (s. f.)；A conflagração destruiu o bairro histórico.；—
conforme；按照/符合的；介詞/形容詞 (prep. e adj.)；Conforme o combinado, entregou o relatório a tempo.；conforme a
conformismo；順從/墨守成規；名詞 (s. m.)；O conformismo social impede a inovação.；—
confrade；同仁/會友；名詞 (s. m.)；Foi recebido pelos confrades da academia.；—
confrangedor；令人沮喪的/痛心的；形容詞 (adj.)；O estado do paciente era confrangedor.；—
congraçamento；和解/和睦；名詞 (s. m.)；O congraçamento entre as famílias demorou anos.；—
congregar；聚集/集合；動詞 (v. tr. e pron.)；O movimento congregou milhares de manifestantes.；—
congro；需要技巧的/複雜的；形容詞 (adj.)；O trabalho é muito congro e exige paciência.；—
conivência；共謀/默許；名詞 (s. f.)；Agiu com a conivência dos superiores hierárquicos.；com a conivência de
conjetura；推測/假設；名詞 (s. f.)；As suas conjeturas revelaram-se corretas.；—
conjugação；結合/變位；名詞 (s. f.)；A conjugação de esforços levou ao sucesso do projeto.；—
conluio；勾結/串通；名詞 (s. m.)；Houve conluio entre os concorrentes para fixar preços.；—
conotação；含義/內涵；名詞 (s. f.)；A palavra tem uma conotação negativa neste contexto.；—
conquanto；雖然/儘管；連詞 (conj.)；Conquanto esteja cansado, vou terminar o trabalho.；—
consagração；奉獻/成名；名詞 (s. f.)；A consagração do artista ocorreu após a sua morte.；—
consciencioso；有良心的/認真的；形容詞 (adj.)；É um trabalhador consciencioso e dedicado.；—
consecução；實現/達成；名詞 (s. f.)；A consecução dos objetivos exigiu muito esforço.；—
conselheiro；顧問/參事；名詞 (s. m.)；O conselheiro do presidente recomendou prudência.；—
consentâneo；一致的/相符的；形容詞 (adj.)；A decisão é consentânea com os valores da empresa.；consentâneo com
conserto；修理/修補；名詞 (s. m.)；O conserto do telhado custou uma fortuna.；—
conservador；保守的/守舊的；形容詞 (adj.)；As suas ideias conservadoras chocam com a nova geração.；—
considerando；鑑於/考慮到；名詞 (s. m.)；Os considerandos do acórdão fundamentam a decisão judicial.；—
consignado；指定用途的/寄售的；形容詞 (adj.)；Os fundos estão consignados a projetos educacionais.；—
consistório；樞機會議/教會法庭；名詞 (s. m.)；O papa convocou um consistório extraordinário.；—
consolar；安慰/慰藉；動詞 (v. tr. e pron.)；A amiga consolou-a após a desilusão amorosa.；—
conspícuo；顯著的/卓越的；形容詞 (adj.)；O seu papel conspícuo na organização foi reconhecido.；—
conspurcar；玷污/污染；動詞 (v. tr.)；Conspurcaram o nome da família com aquelas acusações.；—
constância；恆心/持續；名詞 (s. f.)；A constância do seu trabalho é admirável.；—
